Node,Rank,PageRank,num_followers,verified_followers,following,total_tweets,total_retweets,total_commenters,total_reposters
crypto_rand,1,5.113543264531598e-05,313300,20,20,5,2,87,51
CryptoWizardd,2,4.932363953665318e-05,732600,20,19,5,5,157,99
LeonidasNFT,3,4.838903338449861e-05,237100,20,6,4,5,121,43
DEVBOSE111,4,4.689189107071296e-05,6259,20,18,4,5,13,51
DefiIgnas,5,4.687740883632688e-05,111600,20,19,5,2,60,8
BitcoinZac,6,4.613701076601293e-05,53900,20,19,5,5,111,97
Bitcoin_Cookie,7,4.5098570742661846e-05,3285,20,18,5,5,1,146
cryptogems555,8,4.345624890326047e-05,401400,20,18,5,5,54,109
zuckerswag,13,4.128607317226114e-05,4919,20,20,1,5,0,104
Bitcoin_Teej,14,4.124831509704489e-05,74200,20,20,5,5,19,5
MetaVixensNFT,16,4.073437123952763e-05,18700,19,18,1,5,23,8
aragon_nft,17,4.073036251565763e-05,6671,20,19,5,5,11,88
PopWonderNFT,23,3.92895506240452e-05,38500,20,20,5,5,35,84
LazySeal420,24,3.875697509887716e-05,5255,20,21,5,5,14,90
ChainPeople,25,3.8552841469550864e-05,10800,18,19,5,2,18,4
PortaltoBitcoin,26,3.810611084191134e-05,234700,20,18,4,5,74,0
solana,27,3.801179355116061e-05,2800000,20,19,5,5,123,77
IkoWEB3,28,3.7870099045687554e-05,138000,20,18,5,1,91,20
DaybedNFT,29,3.7758957995019474e-05,11200,19,19,5,5,6,90
80IQmindset,30,3.714714680666547e-05,19800,20,18,5,5,22,107
NFT1nsight,31,3.708414576289864e-05,35900,20,20,5,5,53,32
max_apy,32,3.694708856403572e-05,7298,20,20,5,5,2,25
BitcoinRachy,33,3.6799474283853136e-05,2427,20,21,5,5,0,137
blockchainbalak,34,3.6750325656046846e-05,5629,20,18,5,5,31,26
avni87744,35,3.670549566983556e-05,5094,19,19,4,0,95,0
ChimpersNFT,36,3.659988471433152e-05,59500,20,20,3,5,53,58
Pandapops7,37,3.642602558256006e-05,37000,20,19,5,5,21,26
HERgrowthNFT,38,3.640212144937312e-05,1432,20,20,5,5,15,116
SpiderCrypto0x,39,3.627606546705392e-05,101800,20,20,5,5,64,65
Coachkcrypto,40,3.624362683866263e-05,130900,20,18,5,1,34,24
Stacks,41,3.622447494650826e-05,225400,20,19,5,4,108,52
ValCryptoG,43,3.5526569629050483e-05,1000000,20,16,5,5,92,165
INFLUENCERandre,44,3.532873749809741e-05,75600,20,18,5,2,12,41
h_n_o_o777,45,3.5299274174483994e-05,3823,15,15,5,5,1,160
ThinkingCrypto1,46,3.5246919257364606e-05,121300,20,19,5,5,22,53
eli5_defi,47,3.504411819563402e-05,27100,20,19,5,3,40,85
DeFiDough,48,3.502363720155435e-05,4344,20,20,5,5,18,12
Mikikin8,50,3.487796612483308e-05,611,20,19,5,5,10,17
PilotOfCrypto,51,3.481967547631686e-05,29700,19,19,5,2,50,65
DrSolanaNFT,53,3.460355713784865e-05,56300,20,19,5,5,45,122
web3_ready,54,3.430639705280065e-05,9130,20,20,5,5,31,83
DeFiDaniel,55,3.421690031125714e-05,6306,20,15,5,5,13,134
phtevenstrong,56,3.40170335526312e-05,99300,20,20,5,1,55,0
JaimeZ888,57,3.391899392978958e-05,1758,19,20,4,5,5,57
CryptoWendyO,59,3.377096826268928e-05,395200,20,17,5,3,102,10
CNevicos,61,3.347482740110324e-05,1882,20,19,0,5,0,152
CryptoKaleo,62,3.32869289052225e-05,671800,20,20,5,5,101,42
defichain,63,3.313575092674395e-05,71100,20,19,5,5,28,28
thekriskay,65,3.278999219178597e-05,41300,20,20,5,5,32,61
Crypto_McKenna,66,3.271519294414569e-05,93400,20,21,5,5,71,134
Cryptoking,67,3.2664798548055905e-05,115400,20,20,5,4,153,74
Web3_Kimberly,68,3.216549407198261e-05,596,18,18,5,5,15,21
TheDeFiDefender,69,3.2125576262777664e-05,11200,20,19,5,2,1,57
BitcoinCashTV,70,3.182438081468229e-05,12200,20,19,5,5,6,87
_moppy_20,72,3.174935522840701e-05,1731,9,17,5,5,1,55
btc_cards,73,3.169973080252937e-05,11000,20,18,5,5,11,20
DiaryNoori,76,3.1441445836731045e-05,1921,20,18,5,5,19,10
Altafacha69,77,3.136200072139774e-05,1740,18,18,5,5,10,88
GodFatherDrew99,78,3.1246180516679314e-05,962,20,19,1,5,0,116
NFTArtGallery11,79,3.113527939821871e-05,6234,19,21,1,5,0,80
crypto_linn,80,3.102280339839013e-05,64500,16,19,5,3,47,17
bitcoinsnack,81,3.09441361312458e-05,58800,19,20,5,4,2,93
defi_mochi,82,3.094011865174739e-05,96400,20,19,5,5,72,147
psychedelic_nft,84,3.0842373404766255e-05,160600,20,20,4,5,56,65
shavonnewong_,85,3.082579809662352e-05,36200,19,19,5,5,97,64
rovercrc,86,3.080009393967952e-05,932600,20,19,5,0,178,0
0xDefiLeo,87,3.075533765737264e-05,32800,20,19,4,5,46,50
kanagawaid,89,3.065682041192717e-05,469,18,18,5,5,4,43
DeFiStaker,90,3.063535381564703e-05,6794,20,20,5,5,31,89
CryptoGarga,91,3.057667473298651e-05,110100,20,19,5,5,142,99
DopeStilo,92,3.0500427696268883e-05,4019,20,17,5,5,8,9
realbtcjesus,93,3.037956581293736e-05,1534,19,19,4,5,0,133
paxDeFi,95,3.026136121645688e-05,5622,20,21,5,0,20,0
bitcoinape12,96,3.025910810723547e-05,6287,19,19,5,5,51,93
mrdejie,97,3.0228582963198567e-05,8582,20,21,5,5,12,60
DeFiKingdoms,100,3.001543649517813e-05,114500,20,18,4,5,22,30
Web3Biebert,101,2.993691004776557e-05,2328,19,20,5,5,22,72
TheDeFinvestor,102,2.99327365145833e-05,125800,20,20,5,5,70,113
CryptoFinally,103,2.989085139338165e-05,198600,20,14,5,5,165,29
WiserMiner,104,2.98360815489291e-05,1205,19,18,5,0,3,0
Deebs_DeFi,105,2.979248825692292e-05,39100,20,20,5,3,71,108
morteza_yousefy,106,2.9739726177019488e-05,15200,19,19,5,5,48,41
kush81nft,107,2.959007858329194e-05,2843,3,15,5,5,4,9
Mars_DeFi,108,2.9567807788581217e-05,25300,11,19,5,5,20,89
WM852HK,109,2.952348533147573e-05,5469,2,19,4,5,14,60
Doc_Mukti,110,2.9511943620633785e-05,4487,20,21,5,5,24,87
_TheNFTDaily,111,2.945849809127097e-05,78700,17,18,5,5,65,87
TypicalTigerNFT,112,2.940122377760852e-05,14200,20,19,5,5,21,21
VoiceofDefi,113,2.939953922221949e-05,5331,17,17,4,3,1,67
TheCryptoDog,114,2.93591224494789e-05,836800,20,20,5,5,111,116
TheNFTzoo_,115,2.9328444131407176e-05,39000,19,17,1,5,1,40
__DeFi__,117,2.919941649931543e-05,16900,19,20,5,5,30,74
