Rank,Node,PageRank
1,crypto_rand,5.113543264531598E-5
2,CryptoWizardd,4.932363953665318E-5
3,LeonidasNFT,4.838903338449861E-5
4,DEVBOSE111,4.689189107071296E-5
5,DefiIgnas,4.687740883632688E-5
6,BitcoinZac,4.613701076601293E-5
7,Bitcoin_Cookie,4.5098570742661846E-5
8,cryptogems555,4.345624890326047E-5
9,blockchainbl4ze,4.216610990919372E-5
10,web3_marine,4.193287125701158E-5
11,JM_Sadowski,4.17358348311353E-5
12,w_s_bitcoin,4.1575625402092954E-5
13,zuckerswag,4.128607317226114E-5
14,Bitcoin_Teej,4.124831509704489E-5
15,WatcherGuru,4.1024553925804685E-5
16,MetaVixensNFT,4.073437123952763E-5
17,aragon_nft,4.073036251565763E-5
18,BitcoinPierre,4.0673944087774186E-5
19,bitcoinmalaya,4.023475737717134E-5
20,BitcoinMagazine,4.0061493931541516E-5
21,bitcoinagile,3.962222054277546E-5
22,LearnWeb3IO,3.944597022844486E-5
23,PopWonderNFT,3.92895506240452E-5
24,LazySeal420,3.875697509887716E-5
25,ChainPeople,3.8552841469550864E-5
26,PortaltoBitcoin,3.810611084191134E-5
27,solana,3.8011793551160614E-5
28,IkoWEB3,3.7870099045687554E-5
29,DaybedNFT,3.7758957995019474E-5
30,80IQmindset,3.714714680666547E-5
31,NFT1nsight,3.708414576289864E-5
32,max_apy,3.694708856403572E-5
33,BitcoinRachy,3.6799474283853136E-5
34,blockchainbalak,3.6750325656046846E-5
35,avni87744,3.670549566983556E-5
36,ChimpersNFT,3.659988471433152E-5
37,Pandapops7,3.642602558256006E-5
38,HERgrowthNFT,3.640212144937312E-5
39,SpiderCrypto0x,3.6276065467053914E-5
40,Coachkcrypto,3.624362683866263E-5
41,Stacks,3.622447494650826E-5
42,FerreNFT,3.6100782678248645E-5
43,ValCryptoG,3.5526569629050483E-5
44,INFLUENCERandre,3.532873749809741E-5
45,h_n_o_o777,3.5299274174483994E-5
46,ThinkingCrypto1,3.5246919257364606E-5
47,eli5_defi,3.504411819563402E-5
48,DeFiDough,3.502363720155435E-5
49,krakenfx,3.492369220768139E-5
50,Mikikin8,3.487796612483308E-5
51,PilotOfCrypto,3.481967547631686E-5
52,blockchainYNWA,3.477782262915062E-5
53,DrSolanaNFT,3.460355713784865E-5
54,web3_ready,3.430639705280065E-5
55,DeFiDaniel,3.421690031125714E-5
56,phtevenstrong,3.4017033552631197E-5
57,JaimeZ888,3.391899392978958E-5
58,jlecez,3.388550824470904E-5
59,CryptoWendyO,3.377096826268928E-5
60,rwang0,3.3519945637488306E-5
61,CNevicos,3.347482740110324E-5
62,CryptoKaleo,3.32869289052225E-5
63,defichain,3.313575092674395E-5
64,Nemesis_Web3,3.306661954040729E-5
65,thekriskay,3.278999219178597E-5
66,Crypto_McKenna,3.271519294414569E-5
67,Cryptoking,3.2664798548055905E-5
68,Web3_Kimberly,3.216549407198261E-5
69,TheDeFiDefender,3.2125576262777664E-5
70,BitcoinCashTV,3.182438081468229E-5
71,BitcoinSapiens,3.175362659640258E-5
72,_moppy_20,3.174935522840701E-5
73,btc_cards,3.169973080252937E-5
74,whale_alert,3.162965572465416E-5
75,tr2uochy,3.1607775473135614E-5
76,DiaryNoori,3.1441445836731045E-5
77,Altafacha69,3.136200072139774E-5
78,GodFatherDrew99,3.1246180516679314E-5
79,NFTArtGallery11,3.113527939821871E-5
80,crypto_linn,3.102280339839013E-5
81,bitcoinsnack,3.09441361312458E-5
82,defi_mochi,3.094011865174739E-5
83,pete_rizzo_,3.0851298630767474E-5
84,psychedelic_nft,3.0842373404766255E-5
85,shavonnewong_,3.082579809662352E-5
86,rovercrc,3.080009393967952E-5
87,0xDefiLeo,3.075533765737264E-5
88,BTC_Archive,3.0661823765057025E-5
89,kanagawaid,3.065682041192717E-5
90,DeFiStaker,3.063535381564703E-5
91,CryptoGarga,3.057667473298651E-5
92,DopeStilo,3.0500427696268883E-5
93,realbtcjesus,3.037956581293736E-5
94,psych_nft,3.0344191489051747E-5
95,paxDeFi,3.0261361216456876E-5
96,bitcoinape12,3.025910810723547E-5
97,mrdejie,3.0228582963198567E-5
98,XverseApp,3.0151825664177955E-5
99,binance,3.00659728738498E-5
100,DeFiKingdoms,3.001543649517813E-5
101,Web3Biebert,2.9936910047765572E-5
102,TheDeFinvestor,2.99327365145833E-5
103,CryptoFinally,2.9890851393381655E-5
104,WiserMiner,2.98360815489291E-5
105,Deebs_DeFi,2.9792488256922918E-5
106,morteza_yousefy,2.9739726177019488E-5
107,kush81nft,2.959007858329194E-5
108,Mars_DeFi,2.9567807788581217E-5
109,WM852HK,2.9523485331475734E-5
110,Doc_Mukti,2.9511943620633785E-5
111,_TheNFTDaily,2.9458498091270972E-5
112,TypicalTigerNFT,2.940122377760852E-5
113,VoiceofDefi,2.9399539222219492E-5
114,TheCryptoDog,2.93591224494789E-5
115,TheNFTzoo_,2.9328444131407176E-5
116,JoshiedNFT,2.9203563080224813E-5
117,__DeFi__,2.919941649931543E-5
118,TheBitcoinDogs,2.919530469989802E-5
119,Jikymeow,2.9183092519095814E-5
120,defidotapp,2.9091488174471394E-5
121,ATHena_DeFi,2.903687841742188E-5
122,parman_the,2.8992874425944782E-5
123,TomCrownCrypto,2.896464234076952E-5
124,CryptoNFTs,2.893550669854625E-5
125,mrdariusone,2.8928057460611818E-5
126,MonsieuRabbit,2.8884998915846517E-5
127,RunwithBitcoin,2.883270771846223E-5
128,NFTDoctor33,2.8739660540965038E-5
129,ctommy95,2.8681705991283103E-5
130,blockchainherd,2.866363510865875E-5
131,AlcoholiCrypto,2.8579769074681593E-5
132,miyachi_satoshi,2.85724733181121E-5
133,flow_blockchain,2.8551227026082478E-5
134,DeGodsNFT,2.8498821924222666E-5
135,HedgehogsNFT,2.848589156415238E-5
136,Toni_Bitcoin,2.841229360128208E-5
137,TheJanaNFT,2.8386241656444664E-5
138,JaimeDeFi,2.8354791123603117E-5
139,prettybinladen,2.8354578304658308E-5
140,Baldies4Bitcoin,2.834187499112868E-5
141,crypto_ita2,2.8341856499675988E-5
142,MadHatt3rr,2.8305375434240117E-5
143,HijackingBTC,2.822147416408639E-5
144,ApesFarFromHome,2.817609865105249E-5
145,BlockchainBoyy,2.8157934463074095E-5
146,CryptoEnact,2.8142089363177146E-5
147,bobjiang123,2.8103852022243884E-5
148,LadyofCrypto1,2.8103777627288566E-5
149,CaleCrypto,2.806317639058225E-5
150,BitcoinDevilDog,2.8036502716531866E-5
151,JojoBlockchain,2.7989298408265108E-5
152,CirrusNFT,2.798136577474167E-5
153,RepDeFiFidonia,2.7979071791275708E-5
154,stepn_br,2.7967977910349007E-5
155,A2KDeFi,2.795945815757814E-5
156,0xHvdes,2.7938757976483024E-5
157,web3dailyco,2.786952861210898E-5
158,FWD_BTC,2.7759636838245996E-5
159,BlockShinobi,2.7740390455177344E-5
160,4JusticeWeb3,2.7726798691157456E-5
161,BitcoinRaider,2.769070262288884E-5
162,DeFi_MaGoo,2.7599037875283826E-5
163,DeFi_educator,2.745603036823666E-5
164,BelfortNFT,2.742335310651352E-5
165,RektUSD,2.7406633216178197E-5
166,TheDeFISaint,2.739159734001397E-5
167,metaversehodl,2.734136546879277E-5
168,legendzent,2.730893416672788E-5
169,defitrader_,2.726268192966054E-5
170,BitcoinHealix,2.7256729447219914E-5
171,jimmiebitcoin,2.7240134266245857E-5
172,web3smb,2.715597525818378E-5
173,CryptoApe0,2.71235570601699E-5
174,ffbgame,2.693131481161886E-5
175,ViktorDefi,2.6928771073921578E-5
176,BlockchainDoug,2.692737824600941E-5
177,thehouseofweb3,2.692361172735748E-5
178,hive_blockchain,2.6907137765200576E-5
179,BlockchainBlade,2.6858474983040746E-5
180,defidivvy,2.6844372595635798E-5
181,Trappin_NFTs,2.6833281942827475E-5
182,glozingvirtual,2.6744382987420613E-5
183,Bitcoin_Bilbo,2.6733975959752114E-5
184,harrisonwhitakr,2.6728221894393904E-5
185,RiddlerDeFi,2.6727182240161306E-5
186,immihu,2.6655690415657494E-5
187,Zed18978371,2.6641853598577714E-5
188,Wo_Bitcoin,2.662881876004128E-5
189,TonyHB121,2.6620011140432495E-5
190,DeFi_Made_Here,2.6555139279731312E-5
191,DeFiMole_,2.6464442394980735E-5
192,AltCryptoGems,2.6458472759429054E-5
193,PyroNFT,2.6428712685142213E-5
194,cryptopitbull9,2.6417412175748408E-5
