Bitcoin,"saylor, MMCrypto, DocumentingBTC, TheMoonCarl, 100trillionUSD, rovercrc, CoinMarketCap, Davincij15, BTCTN, CoinDesk, whale_alert, Breedlove22, natbrunell, adam3us, jackmallers, BitcoinFear, StockmoneyL, krakenfx","BillyZoomer, GiantDogBalls, Orkunoss, zhaodengfeng, DraculaTrading, YerocZen, haariswifimoney, RUSEVVVVV, ctancoin, not_chevelle, Original_SNT, RealDChad, Justsimplyrob_, svulcanus, alexreyescripto, x_most_decent, Dave_Blackest, DubSutherland, RMBrenna, minhhoangbmw","pwuille, halfin, NickSzabo4, jack"
BTCTN,"MMCrypto, CoinMarketCap, TheCryptoLark, cryptojack, CryptooIndia, pushpendrakum, simplykashif, wiseadvicesumit, trondao, bitcoinlfgo, Mohsin_71, Bitcoinsensus, Cetoex, earnwithrk, Btcexpertindia, Crypto_Jargon, smtgpt, BabydogeFuun","WardenWindu, Loco_Listens, jamesonchain, NonFungibleBean, MalwareHomie, CortiCristian, sap_shakun, metay_ai, MichaelDYork, FranciscoKemeny, comtrax_app, TonyBri03678397, gfxess, 0x_defi_ninja, Rafael_BabyDoge, AndrewMcCurdy2, jayp2020, technologix, greatesteverMD","BitcoinMagazine, Cointelegraph, CoinMarketCap, CoinDesk, Bitcoin, litecoin, Tether_to, trondao, blockchain, ForbesCrypto, DOGE, vaneck_us, TON_CAPITAL, NibiruChain, deBridgeFinance, truth_terminal, saylor, Metaplanet_JP"
BTC_Archive,"saylor, AltcoinDailyio, 100trillionUSD, DocumentingBTC, intocryptoverse, TheCryptoLark, woonomic, CryptoMichNL, Davincij15, maxkeiser, PeterMcCormack, coryklippsten, natbrunell, naiivememe, PrestonPysh, TechDev_52, Dennis_Porter_","comtrax_app, yawnconsensus, TaurusZodiac9, Danoncrypto, BraisMichael, PiousMonken, DandinAmerica, abban_gysan, sysop1984, liara_moon, Godid242, Hunton1111, mc4btc, Tobnajell, cxygyw2017, vieri619, PokerKlown, wzorak, SnowBizRemoval, briansbasics","CryptoMichNL, Davincij15, maxkeiser, PeterMcCormack, RadarHits, natbrunell, naiivememe, PrestonPysh, TechDev_52, Dennis_Porter_"
krakenfx,"Cointelegraph, HTX_Global, BTCTN, jespow, CertiKCommunity, miidasnft, ShibaInuHodler, lungdefi, InuKishu, ShibalnuNews, CJ_Reim, Yourpop8, bitcoinlfgo, DogelonMars, WhalesHQ, BitKanOfficial, BabydogeFuun, COREAllday","ShibaArmy2025_, nerdyx90, leo188588, TheHyikings, wasteland002, Psyaddict4ever, rprokesch_, A_Dombeck_, yellow_jacket75, uptowngurl123, comtrax_app, CryptoSurgeon, cryptobullshit3, coach_klimek, Tyjoooohm, Rafael_BabyDoge, JethroCoeIII, RobC937679, njy6688, davinn008","jespow, inkonchain, SpursWomen, SpursOfficial, Atleti, pdimitrakos, Crypto_ISAC, Bivu_D, Optimism, BitcoinMagazine, JDMikeJ, RaposaCoffeeCo, marklg, SuiChung2, Tim_Ogilvie, KrakenfxUK, BanklessHQ, BoysClubWorld, CoinDesk, cryptocasey"
BitcoinMagazine,"adam3us, Dennis_Porter_, jackmallers, gladstein","kocho7171, NonFungibleBean, cchang1945, GeoffTheLil, IFoxWithCoins, OndrejPalata, kevinafc007, BitcoinEcoSpace, westpatradeaway, StiehlSports, coull69, lzpap, Donovan_W_G, fillipebt, btcdog_, JordanMezoff, ShirushiInc, Tran88988, metay_ai, HRJ15","DocumentingBTC, danheld, maxkeiser, coryklippsten, Breedlove22, natbrunell, TheBitcoinConf, PrestonPysh, adam3us, jackmallers, gladstein, JasonPLowery, hodlonaut, JeffBooth, FossGregfoss, Excellion, jimmysong, BitcoinIsSaving, CarlBMenger, therationalroot, obj, krakenpro, KrakenDesktop, michelleweekley, TiKawamoto"
naypyidaw,,"KK1935816880413, Rei_Rainbow8, savedatagis, johnlemonisogin, i071k, fa1yaeno_, korekore_fuwari, Maximizer_tomi, saenoMe1nk0kO, maffay38, maverick_bet, statdefender, hush_web3, Rukhy0, siosaido, rahabpunka",
BitcoinFear,,"CoinBucksETH, pleberean, nazufemboy, Packet_Smasher, OguzieWisdom, chandstwn, bcomingsuperfly, blakedabull, geatsor, comtrax_app, brookswpeterson, AnthonySzelocei, officialajeet, samsamyoung9, ShibaArmy2025_, greg_zab, suktheman, CRE_Banker_NYC, StiehlSports, ramansaini90","BTC_Archive, 100trillionUSD, EthereumFear, RealRossU, adam3us, elonmusk, officialmcafee, _RichardTeng, saylor"
BTCFoundation,"BTCTN, rogerkver, WalkerAmerica, w_s_bitcoin, CharlieShrem, franfinney, bitcoinagile, BTC_LN, slezisatoshi, NSmolenski, bitcoinist, BitcoinBeachBR, ElectrumWallet, CryptoBoomNews, BittrexExchange, paullinator, newsbtc, mryechu","XQTStrategy, RobinNakamoto, Angelocass, CatalystKarl, MiXiD8, m_shelud, NineBapa, soncrypto1995, patdonnellyy, Lightswarm, lennarthennig, crypto_king_50, mikeumus, rdp314, Lavenderlolvvv, meanrevpls, dayzhunt007, blockviews, ronmckay13, 73_Duderino","DocumentingBTC, lopp, BTCTN, adam3us, TheBitcoinConf, Dennis_Porter_, jimmysong, Excellion, pete_rizzo_, rogerkver, Vivek4real_, blockchain, aantonop, CharlieShrem, peterktodd, franfinney, TimDraper, Bitstamp"
bitcoingold,"TrustPad, wiseadvicesumit, bitcoinagile, yang1093510, AmandaJohn67191, mryechu, JamaliOmid42201, IndahWiens, Badgirl5690, Nazruh_, t46244, Endizzy15, DjSava776, ThomiiR23, Emilylinda213, richkid22441, AhmdMyar48748, vyKRr79cKLtW0A6, Mauri_Attardi, Has34018172Saad, subhankar_exist, Spockmindmeld, CryptonicJack, MZmitko, MalikSadiq5601","imNadeemshaikh, r_reamer, weiser_the, WissyZB, sam_crypto36, MrRandomism, nkTech4Btc, stellarxlmstar, Assassin01Cs, BrownSugarLX, CarrieO504, JoseFRodriguezR, J12849558, hellobeexo, NewsCriptomoeda, Cryptocaseman, embrelladotcom, bitnavon, rR0888, RealHWC","BTCTN, litecoin, rogerkver, Poloniex, Dashpay, crypto_rand, exodus_io, bitfinex, monero, CharlieShrem, blockchain, BasedBeffJezos, BiconomyCom, bitcoinist, PhalaNetwork, nlw, BioneExchange, Fibercoin, Transak"
BitcoinCats1Cat,"sanyi_eth_, lubi366, hebi555, amprosper_, Ravindraa888, merse0244, kriptobalistik, ramadhan889681, ClyntonJud61720, Hebe0522, vk8gy2mxb8, gsgdhdsgsgdsgsg, TeeshauVXi, 0xthelufy_, Christo01342788, Candras97803205, Metaminions002, ezferdi, BBCatSanctuary, YenerDYY, jstrx2b, kafeel_maje1, InPajamas_10, agungsmith21","dapanji_eth, jonas70927106, cryptonik_007, __MightySonu, Lord_MemeCoin, xianyujiushiwo, ClyntonJud61720, Scott_2140, dreaminglucid22, Bhodl2, AusVite, Remiplus, shadowmonark_, lvtvip19, Alissonks, officialajeet, AndreeSimoess, AulSabi, richman_btc, crypto_mami_","layer3xyz, LightDotSo, elonmusk, MustStopMurad, zenqiratech, GPTWars, htxintern, atdawn_io, GwynToken, OrdiLaunch, TuringBitchain_, JulSwap, gurgavin, Fanta_Goal, IGGYAZALEA, ginoa_io, AILayer_xyz, BiHelix_, daice_0622"
